category_id,category_name_ja,category_name_en
insect_supplies,insect_supplies,insect_supplies
dog_food,dog_food,dog_food
rabbit_food,rabbit_food,rabbit_food
small_mammal_food,small_mammal_food,small_mammal_food
bird_food,bird_food,bird_food
fish_supplies,fish_supplies,fish_supplies
reptile_amphibian_supplies,reptile_amphibian_supplies,reptile_amphibian_supplies
pet_sheets,pet_sheets,pet_sheets
diapers,diapers,diapers
deodorizer,deodorizer,deodorizer
shampoo,shampoo,shampoo
eye_care,eye_care,eye_care
ear_care,ear_care,ear_care
paw_care,paw_care,paw_care
dental_care,dental_care,dental_care
milk,milk,milk
wet_tissues,wet_tissues,wet_tissues
waste_bags,waste_bags,waste_bags
flea_tick_care,flea_tick_care,flea_tick_care
main_pellet,main_pellet,main_pellet
timothy,timothy,timothy
alfalfa,alfalfa,alfalfa
supplement,supplement,supplement
chew_toy,chew_toy,chew_toy
toilet_litter,toilet_litter,toilet_litter
toilet_sheets,toilet_sheets,toilet_sheets
pellet,pellet,pellet
nesting_material,nesting_material,nesting_material
bathing_sand,bathing_sand,bathing_sand
bedding,bedding,bedding
hairball_care,hairball_care,hairball_care
seed,seed,seed
formula,formula,formula
chick_food,chick_food,chick_food
calcium,calcium,calcium
grit,grit,grit
cuttlebone,cuttlebone,cuttlebone
mineral,mineral,mineral
bath,bath,bath
flake_food,flake_food,flake_food
granule_food,granule_food,granule_food
tablet_food,tablet_food,tablet_food
fry_food,fry_food,fry_food
betta_food,betta_food,betta_food
marine_food,marine_food,marine_food
water_conditioner,water_conditioner,water_conditioner
dechlorinator,dechlorinator,dechlorinator
bacteria,bacteria,bacteria
algae_control,algae_control,algae_control
activated_carbon,activated_carbon,activated_carbon
filter_media,filter_media,filter_media
water_test,water_test,water_test
substrate,substrate,substrate
plant_fertilizer,plant_fertilizer,plant_fertilizer
co2_consumable,co2_consumable,co2_consumable
insect_food,insect_food,insect_food
vitamin,vitamin,vitamin
coconut_substrate,coconut_substrate,coconut_substrate
shedding_care,shedding_care,shedding_care
frozen_food,frozen_food,frozen_food
dried_food,dried_food,dried_food
fermented_mat,fermented_mat,fermented_mat
kinshi_bottle,kinshi_bottle,kinshi_bottle
burial_mat,burial_mat,burial_mat
leaf_mold,leaf_mold,leaf_mold
cricket_food,cricket_food,cricket_food
bell_cricket_food,bell_cricket_food,bell_cricket_food
hydration,hydration,hydration
humidity,humidity,humidity
wet_food,wet_food,wet_food
semi_moist_food,semi_moist_food,semi_moist_food
therapeutic_food,therapeutic_food,therapeutic_food
treat,treat,treat
conditioner,conditioner,conditioner
toilet,toilet,toilet
supplementary_food,supplementary_food,supplementary_food
grooming,grooming,grooming
shampoo_towel,shampoo_towel,shampoo_towel
water_replacement,water_replacement,water_replacement
mixed_food,mixed_food,mixed_food
sand,sand,sand
live_food,live_food,live_food
shrimp_food,shrimp_food,shrimp_food
aquarium_salt,aquarium_salt,aquarium_salt
wool_mat,wool_mat,wool_mat
gravel,gravel,gravel
soil,soil,soil
reptile_jelly,reptile_jelly,reptile_jelly
uv_lighting,uv_lighting,uv_lighting
heat_lamp,heat_lamp,heat_lamp
adult_mat,adult_mat,adult_mat
insect_honey,insect_honey,insect_honey
case_bedding,case_bedding,case_bedding
fish_medicine,魚病薬,Fish Medicine
spawning_wood,産卵木,Spawning Wood
