product_id,slug,product_name_ja,product_name_en,pet_type,target_species,target_breed,target_size,target_age,life_stage,habitat_type,feeding_type,freshwater_or_marine,brand_id,brand_name,manufacturer,category_id,subcategory_id,product_kind,status,review_required,official_url,source_id,source_status,notes
pet-insect-001,insect-バイオ育成クヌギマット,バイオ育成クヌギマット,,insect,,,,,,,,,brand-フジコン,フジコン,フジコン,insect_supplies,insect_food,food,not_found_official,false,https://www.fujikon.net/04mat.htm,source-pet-insect-001,not_found_official,フジコン公式現行昆虫マット一覧にバイオ育成クヌギマットを確認できない。
pet-dog-001,dog-ビューティープロ-ドッグ-子犬用-12ヵ月頃まで,ビューティープロ ドッグ 子犬用 12ヵ月頃まで,,dog,dog,,,juvenile,juvenile,,,,brand-ビューティープロ,ビューティープロ,日本ペットフード,dog_food,dog_dry_food,food,verified_active,false,https://www.npf.co.jp/dog-products/dog-detail/bdg,source-pet-dog-001,verified_active,公式商品ページで子犬用12ヵ月頃まで・犬用・成長期犬用総合栄養食を確認。
pet-dog-002,dog-ビューティープロ-ドッグ-成犬用-1歳から,ビューティープロ ドッグ 成犬用 1歳から,,dog,dog,,,adult,adult,,,,brand-ビューティープロ,ビューティープロ,日本ペットフード,dog_food,dog_dry_food,food,verified_active,false,https://www.npf.co.jp/beautypro/dog/lineup/index.html,source-pet-dog-002,verified_active,公式ラインアップで成犬用1歳からを確認。
pet-dog-003,dog-ビューティープロ-ドッグ-10歳以上,ビューティープロ ドッグ 10歳以上,,dog,dog,,,senior,senior,,,,brand-ビューティープロ,ビューティープロ,日本ペットフード,dog_food,dog_dry_food,food,verified_active,false,https://www.npf.co.jp/beautypro/dog/lineup/index.html,source-pet-dog-003,verified_active,公式ラインアップで10歳以上を確認。
pet-dog-004,dog-ビューティープロ-ドッグ-低脂肪-1歳から,ビューティープロ ドッグ 低脂肪 1歳から,,dog,dog,,,,,,,,brand-ビューティープロ,ビューティープロ,日本ペットフード,dog_food,dog_dry_food,food,verified_active,false,https://www.npf.co.jp/beautypro/dog/lineup/index.html,source-pet-dog-004,verified_active,公式ラインアップで低脂肪1歳からを確認。
pet-dog-005,dog-ビューティープロ-ドッグ-ダイエット-1歳から,ビューティープロ ドッグ ダイエット 1歳から,,dog,dog,,,,,,,,brand-ビューティープロ,ビューティープロ,日本ペットフード,dog_food,dog_dry_food,food,verified_active,false,https://www.npf.co.jp/beautypro/dog/lineup/index.html,source-pet-dog-005,verified_active,公式ラインアップでダイエット1歳からを確認。
pet-dog-006,dog-ビューティープロ-ドッグ-歯の健康-1歳から,ビューティープロ ドッグ 歯の健康 1歳から,,dog,dog,,,,,,,,brand-ビューティープロ,ビューティープロ,日本ペットフード,dog_food,dog_dry_food,food,verified_active,false,https://www.npf.co.jp/beautypro/dog/lineup/index.html,source-pet-dog-006,verified_active,公式ラインアップで歯の健康1歳からを確認。
pet-dog-007,dog-ビューティープロ-ドッグ-おなかの健康-1歳から,ビューティープロ ドッグ おなかの健康 1歳から,,dog,dog,,,,,,,,brand-ビューティープロ,ビューティープロ,日本ペットフード,dog_food,dog_dry_food,food,verified_active,false,https://www.npf.co.jp/beautypro/dog/lineup/index.html,source-pet-dog-007,verified_active,公式ラインアップでおなかの健康1歳からを確認。
pet-dog-008,dog-ビューティープロ-ドッグ-食物アレルゲンに配慮-1歳から,ビューティープロ ドッグ 食物アレルゲンに配慮 1歳から,,dog,dog,,,,,,,,brand-ビューティープロ,ビューティープロ,日本ペットフード,dog_food,dog_dry_food,food,verified_active,false,https://www.npf.co.jp/beautypro/dog/lineup/index.html,source-pet-dog-008,verified_active,公式ラインアップで食物アレルゲンに配慮1歳からを確認。
pet-dog-009,dog-ビューティープロ-ドッグ-食物アレルゲンに配慮-10歳以上,ビューティープロ ドッグ 食物アレルゲンに配慮 10歳以上,,dog,dog,,,senior,senior,,,,brand-ビューティープロ,ビューティープロ,日本ペットフード,dog_food,dog_dry_food,food,verified_active,false,https://www.npf.co.jp/beautypro/dog/lineup/index.html,source-pet-dog-009,verified_active,公式ラインアップで食物アレルゲンに配慮10歳以上を確認。
pet-dog-010,dog-ビューティープロ-ドッグ-大粒タイプ-1歳から,ビューティープロ ドッグ 大粒タイプ 1歳から,,dog,dog,,large,,,,,,brand-ビューティープロ,ビューティープロ,日本ペットフード,dog_food,dog_dry_food,food,verified_active,false,https://www.npf.co.jp/beautypro/dog/lineup/index.html,source-pet-dog-010,verified_active,公式ラインアップで大粒タイプ1歳からを確認。
pet-dog-011,dog-ビューティープロ-ドッグ-パウダフル-成犬用,ビューティープロ ドッグ パウダフル 成犬用,,dog,dog,,,adult,adult,,,,brand-ビューティープロ,ビューティープロ,日本ペットフード,dog_food,dog_dry_food,food,verified_active,false,https://www.npf.co.jp/dog-products/beautypro-dry,source-pet-dog-011,verified_active,日本ペットフード公式商品一覧でビューティープロ ドッグ パウダフル 成犬用を確認。
pet-dog-012,dog-ビューティープロ-ドッグ-パウダフル-10歳以上,ビューティープロ ドッグ パウダフル 10歳以上,,dog,dog,,,senior,senior,,,,brand-ビューティープロ,ビューティープロ,日本ペットフード,dog_food,dog_dry_food,food,not_found_official,false,https://www.npf.co.jp/dog-products/beautypro-dry,source-pet-dog-012,not_found_official,日本ペットフード公式現行商品一覧にビューティープロ ドッグ パウダフル 10歳以上を確認できない。
pet-dog-013,dog-コンボ-ドッグ-子犬用,コンボ ドッグ 子犬用,,dog,dog,,,juvenile,juvenile,,,,brand-コンボ,コンボ,日本ペットフード,dog_food,dog_dry_food,food,not_found_official,false,https://www.npf.co.jp/dog-products/combo_dry,source-pet-dog-013,not_found_official,公式現行コンボ ドッグ一覧に子犬用の掲載を確認できない。終売または名称変更候補。
pet-dog-014,dog-コンボ-ドッグ-7歳以上,コンボ ドッグ 7歳以上,,dog,dog,,,,,,,,brand-コンボ,コンボ,日本ペットフード,dog_food,dog_dry_food,food,not_found_official,false,https://www.npf.co.jp/dog-products/combo_dry,source-pet-dog-014,not_found_official,公式現行コンボ ドッグ一覧に7歳以上の掲載を確認できない。終売または名称変更候補。
pet-dog-015,dog-コンボ-ドッグ-11歳以上,コンボ ドッグ 11歳以上,,dog,dog,,,senior,senior,,,,brand-コンボ,コンボ,日本ペットフード,dog_food,dog_dry_food,food,verified_active,false,https://www.npf.co.jp/dog-products/combo_dry,source-pet-dog-015,verified_active,公式現行コンボ ドッグ一覧で11歳以上を確認。
pet-dog-016,dog-コンボ-ドッグ-低脂肪,コンボ ドッグ 低脂肪,,dog,dog,,,,,,,,brand-コンボ,コンボ,日本ペットフード,dog_food,dog_dry_food,food,verified_active,false,https://www.npf.co.jp/dog-products/combo_dry,source-pet-dog-016,verified_active,公式現行コンボ ドッグ一覧で低脂肪を確認。
pet-dog-017,dog-コンボ-ドッグ-やわらかソフト,コンボ ドッグ やわらかソフト,,dog,dog,,,,,,,,brand-コンボ,コンボ,日本ペットフード,dog_food,dog_dry_food,food,discontinued,false,https://www.npf.co.jp/news/detail/11,source-pet-dog-017,discontinued,日本ペットフード公式の終売告知でコンボ ドッグ やわらかソフトの販売終了を確認。
pet-dog-018,dog-コンボ-ピュア-ドッグ-野菜-厳選チーズ入り,コンボ ピュア ドッグ 野菜・厳選チーズ入り,,dog,dog,,,,,,,,brand-コンボ,コンボ,日本ペットフード,dog_food,dog_dry_food,food,not_found_official,false,https://www.npf.co.jp/dog-products/combo_dry,source-pet-dog-018,not_found_official,日本ペットフード公式現行商品一覧にコンボ ピュア ドッグ 野菜・厳選チーズ入りを確認できない。
pet-dog-019,dog-コンボ-ピュア-ドッグ-鶏肉-野菜入り,コンボ ピュア ドッグ 鶏肉・野菜入り,,dog,dog,,,,,,,,brand-コンボ,コンボ,日本ペットフード,dog_food,dog_dry_food,food,not_found_official,false,https://www.npf.co.jp/dog-products/combo_dry,source-pet-dog-019,not_found_official,日本ペットフード公式現行商品一覧にコンボ ピュア ドッグ 鶏肉・野菜入りを確認できない。
pet-dog-020,dog-コンボ-プレゼント-ドッグ-ドライフード,コンボ プレゼント ドッグ ドライフード,,dog,dog,,,,,,,,brand-コンボ,コンボ,日本ペットフード,dog_food,dog_dry_food,food,not_found_official,false,https://www.npf.co.jp/dog-products/combo_present_oyatsu,source-pet-dog-020,not_found_official,公式カテゴリの表記はコンボプレゼント おやつでありドライフードとしては確認できない。分類誤りまたは終売候補。
pet-dog-021,dog-ビタワン-国産チキンのレシピ-成犬用,ビタワン 国産チキンのレシピ 成犬用,,dog,dog,,,adult,adult,,,,brand-日本ペットフード,日本ペットフード,日本ペットフード,dog_food,dog_dry_food,food,verified_active,false,https://www.npf.co.jp/dog-products/dog-detail/vkc,source-pet-dog-021,verified_active,公式商品ページで国産チキンのレシピ成犬用・犬用・成犬用総合栄養食を確認。
pet-dog-022,dog-ビタワン-もっちりふっくら-ビーフ-野菜入り,ビタワン もっちりふっくら ビーフ・野菜入り,,dog,dog,,,,,,,,brand-日本ペットフード,日本ペットフード,日本ペットフード,dog_food,dog_dry_food,food,not_found_official,false,https://www.npf.co.jp/dog-products/vita_one_dry,source-pet-dog-022,not_found_official,公式現行ビタワン一覧に該当する商品名を確認できない。終売または名称変更候補。
pet-dog-023,dog-ビタワン君-ささみ入りミニ粒,ビタワン君 ささみ入りミニ粒,,dog,dog,,small,,,,,,brand-日本ペットフード,日本ペットフード,日本ペットフード,dog_food,dog_dry_food,food,not_found_official,false,https://www.npf.co.jp/dog-products/vita_one_kun_soft,source-pet-dog-023,not_found_official,公式現行ビタワン君一覧にささみ入りミニ粒を確認できない。終売または名称変更候補。
pet-dog-024,dog-デビフ-ささみ-レバーミンチ-野菜入り,デビフ ささみ＆レバーミンチ 野菜入り,,dog,dog,,,,,,,,brand-デビフ,デビフ,デビフペット,dog_food,dog_wet_food,food,verified_active,false,https://www.dbfpet.co.jp/food-series/canning-150/,source-pet-dog-024,verified_active,公式150g缶シリーズの製品一覧でささみ＆レバーミンチ野菜入りを確認。
pet-dog-025,dog-デビフ-ささみ-レバーミンチ-乳酸菌入り,デビフ ささみ＆レバーミンチ 乳酸菌入り,,dog,dog,,,,,,,,brand-デビフ,デビフ,デビフペット,dog_food,dog_wet_food,food,not_found_official,false,https://www.dbfpet.co.jp/product-info/,source-pet-dog-025,not_found_official,デビフ公式現行商品一覧にささみ＆レバーミンチ 乳酸菌入りを確認できない。
pet-dog-026,dog-デビフ-牛肉ミンチ,デビフ 牛肉ミンチ,,dog,dog,,,,,,,,brand-デビフ,デビフ,デビフペット,dog_food,dog_wet_food,food,not_found_official,false,https://www.dbfpet.co.jp/product-info/,source-pet-dog-026,not_found_official,デビフ公式現行商品一覧に牛肉ミンチを確認できない。
pet-dog-027,dog-デビフ-牛肉ミンチ-野菜入り,デビフ 牛肉ミンチ 野菜入り,,dog,dog,,,,,,,,brand-デビフ,デビフ,デビフペット,dog_food,dog_wet_food,food,not_found_official,false,https://www.dbfpet.co.jp/product-info/,source-pet-dog-027,not_found_official,デビフ公式現行商品一覧に牛肉ミンチ 野菜入りを確認できない。
pet-dog-028,dog-デビフ-馬肉のスープ煮,デビフ 馬肉のスープ煮,,dog,dog,,,,,,,,brand-デビフ,デビフ,デビフペット,dog_food,dog_wet_food,food,not_found_official,false,https://www.dbfpet.co.jp/product-info/,source-pet-dog-028,not_found_official,デビフ公式現行商品一覧に馬肉のスープ煮を確認できない。
pet-dog-029,dog-デビフ-鶏肉-野菜,デビフ 鶏肉＆野菜,,dog,dog,,,,,,,,brand-デビフ,デビフ,デビフペット,dog_food,dog_wet_food,food,not_found_official,false,https://www.dbfpet.co.jp/product-info/,source-pet-dog-029,not_found_official,デビフ公式現行商品一覧に鶏肉＆野菜を確認できない。
pet-dog-030,dog-デビフ-シニア犬の食事-ささみ-すりおろし野菜,デビフ シニア犬の食事 ささみ＆すりおろし野菜,,dog,dog,,,senior,senior,,,,brand-デビフ,デビフ,デビフペット,dog_food,dog_wet_food,food,not_found_official,false,https://www.dbfpet.co.jp/product-info/,source-pet-dog-030,not_found_official,デビフ公式現行商品一覧にシニア犬の食事 ささみ＆すりおろし野菜を確認できない。
pet-dog-031,dog-デビフ-子犬の離乳食,デビフ 子犬の離乳食,,dog,dog,,,juvenile,juvenile,,,,brand-デビフ,デビフ,デビフペット,dog_food,dog_wet_food,food,not_found_official,false,https://www.dbfpet.co.jp/product-info/,source-pet-dog-031,not_found_official,デビフ公式現行商品一覧に子犬の離乳食を確認できない。
pet-dog-032,dog-デビフ-カロリーエースプラス-犬用流動食,デビフ カロリーエースプラス 犬用流動食,,dog,dog,,,,,,,,brand-デビフ,デビフ,デビフペット,dog_food,dog_wet_food,food,not_found_official,false,https://www.dbfpet.co.jp/product-info/,source-pet-dog-032,not_found_official,デビフ公式現行商品一覧にカロリーエースプラス 犬用流動食を確認できない。
pet-dog-033,dog-ちゅ-るごはん-とりささみ,ちゅ〜るごはん とりささみ,,dog,dog,,,,,,,,brand-いなば,いなば,いなばペットフード,dog_food,dog_treat,food,verified_active,false,https://www.inaba-petfood.co.jp/product/dog/,source-pet-dog-033,verified_active,いなば公式ドッグフードカタログでちゅ～るごはんシリーズを確認。
pet-dog-034,dog-ちゅ-るごはん-とりささみ-緑黄色野菜,ちゅ〜るごはん とりささみ・緑黄色野菜,,dog,dog,,,,,,,,brand-いなば,いなば,いなばペットフード,dog_food,dog_treat,food,not_found_official,false,https://www.inaba-petfood.co.jp/product/dog/,source-pet-dog-034,not_found_official,Unicode正規化済みの公式現行カタログでちゅ～るごはん とりささみ・緑黄色野菜を確認できない。
pet-dog-035,dog-ちゅ-る-とりささみ,ちゅ〜る とりささみ,,dog,dog,,,,,,,,brand-いなば,いなば,いなばペットフード,dog_food,dog_treat,food,not_found_official,false,https://www.inaba-petfood.co.jp/product/dog/,source-pet-dog-035,not_found_official,Unicode正規化済みの公式現行カタログでちゅ～る とりささみを確認できない。
pet-dog-036,dog-ちゅ-る-とりささみ-チーズ入り,ちゅ〜る とりささみ チーズ入り,,dog,dog,,,,,,,,brand-いなば,いなば,いなばペットフード,dog_food,dog_treat,food,not_found_official,false,https://www.inaba-petfood.co.jp/product/dog/,source-pet-dog-036,not_found_official,Unicode正規化済みの公式現行カタログでちゅ～る とりささみ チーズ入りを確認できない。
pet-dog-037,dog-ちゅ-る-とりささみ-緑黄色野菜入り,ちゅ〜る とりささみ 緑黄色野菜入り,,dog,dog,,,,,,,,brand-いなば,いなば,いなばペットフード,dog_food,dog_treat,food,not_found_official,false,https://www.inaba-petfood.co.jp/product/dog/,source-pet-dog-037,not_found_official,Unicode正規化済みの公式現行カタログでちゅ～る とりささみ 緑黄色野菜入りを確認できない。
pet-dog-038,dog-ちゅ-るビッツ-とりささみ,ちゅ〜るビッツ とりささみ,,dog,dog,,,,,,,,brand-いなば,いなば,いなばペットフード,dog_food,dog_treat,food,verified_active,false,https://www.inaba-petfood.co.jp/product/dog/,source-pet-dog-038,verified_active,いなば公式ドッグフードカタログでちゅ～るビッツシリーズを確認。
pet-dog-039,dog-ちゅ-るボール-とりささみ,ちゅ〜るボール とりささみ,,dog,dog,,,,,,,,brand-いなば,いなば,いなばペットフード,dog_food,dog_treat,food,verified_active,false,https://www.inaba-petfood.co.jp/product/detail/%E3%81%A1%E3%82%85%EF%BD%9E%E3%82%8B%E3%83%9C%E3%83%BC%E3%83%AB/11036,source-pet-dog-039,verified_active,いなば公式商品ページでちゅ～るボール とりささみ チーズ入りを確認。プロダクトはとりささみとして統合。
pet-dog-040,dog-国産いなば-総合栄養食-チキン-野菜入り,国産いなば 総合栄養食 チキン・野菜入り,,dog,dog,,,,,,,,brand-いなば,いなば,いなばペットフード,dog_food,dog_treat,food,not_found_official,false,https://www.inaba-petfood.co.jp/product/dog/,source-pet-dog-040,not_found_official,Unicode正規化済みの公式現行カタログで国産いなば 総合栄養食 チキン・野菜入りを確認できない。
pet-rabbit-001,rabbit-バニーセレクション-シニア,バニーセレクション シニア,,rabbit,rabbit,,,senior,senior,,,,brand-バニーセレクション,バニーセレクション,イースター,rabbit_food,rabbit_pellet,food,verified_active,false,https://www.yeaster.co.jp/products/rabbitfood/brand/14,source-pet-rabbit-001,verified_active,公式ラインアップでバニーセレクション シニア・うさぎ用・5歳以上を確認。
pet-rabbit-002,rabbit-バニーセレクション-スーパーシニア,バニーセレクション スーパーシニア,,rabbit,rabbit,,,senior,senior,,,,brand-バニーセレクション,バニーセレクション,イースター,rabbit_food,rabbit_pellet,food,verified_active,false,https://www.yeaster.co.jp/products/rabbitfood/brand/14,source-pet-rabbit-002,verified_active,公式ラインアップでバニーセレクション スーパーシニア・うさぎ用・7歳からを確認。
pet-rabbit-003,rabbit-バニーセレクション-ネザーランドドワーフ専用,バニーセレクション ネザーランドドワーフ専用,,rabbit,rabbit,,,,,,,,brand-バニーセレクション,バニーセレクション,イースター,rabbit_food,rabbit_pellet,food,verified_active,false,https://www.yeaster.co.jp/products/rabbitfood/brand/14,source-pet-rabbit-003,verified_active,公式ラインアップでネザーランドドワーフ専用を確認。
pet-rabbit-004,rabbit-バニーセレクション-ロップイヤー専用,バニーセレクション ロップイヤー専用,,rabbit,rabbit,,,,,,,,brand-バニーセレクション,バニーセレクション,イースター,rabbit_food,rabbit_pellet,food,verified_active,false,https://www.yeaster.co.jp/products/rabbitfood/category/77,source-pet-rabbit-004,verified_active,公式一覧でロップイヤー専用を確認。
pet-rabbit-005,rabbit-バニーセレクション-メンテナンス-チモシー,バニーセレクション メンテナンス チモシー,,rabbit,rabbit,,,,,,,,brand-バニーセレクション,バニーセレクション,イースター,rabbit_food,rabbit_pellet,food,verified_active,false,https://www.yeaster.co.jp/products/rabbitfood/item/102,source-pet-rabbit-005,verified_active,イースター公式商品ページでバニーセレクション メンテナンスを確認。チモシー牧草主原料の表記を含むプロダクトとして確認。
pet-rabbit-006,rabbit-バニーセレクション-プロ-グロース,バニーセレクション プロ グロース,,rabbit,rabbit,,,juvenile,juvenile,,,,brand-バニーセレクション,バニーセレクション,イースター,rabbit_food,rabbit_pellet,food,verified_active,false,https://www.yeaster.co.jp/products/rabbitfood/brand/20,source-pet-rabbit-006,verified_active,公式ラインアップでバニーセレクションプロ グロース・生後7ヵ月までを確認。
pet-rabbit-007,rabbit-バニーセレクション-プロ-メンテナンス,バニーセレクション プロ メンテナンス,,rabbit,rabbit,,,,,,,,brand-バニーセレクション,バニーセレクション,イースター,rabbit_food,rabbit_pellet,food,verified_active,false,https://www.yeaster.co.jp/products/rabbitfood/brand/20,source-pet-rabbit-007,verified_active,公式ラインアップでバニーセレクションプロ メンテナンス・生後7ヵ月以上を確認。
pet-rabbit-008,rabbit-バニーセレクション-プロ-シニア,バニーセレクション プロ シニア,,rabbit,rabbit,,,senior,senior,,,,brand-バニーセレクション,バニーセレクション,イースター,rabbit_food,rabbit_pellet,food,verified_active,false,https://www.yeaster.co.jp/products/rabbitfood/brand/20,source-pet-rabbit-008,verified_active,公式ラインアップでバニーセレクションプロ シニア・5歳以上を確認。
