subcategory_id,category_id,subcategory_name_ja,subcategory_name_en
insect_food,insect_supplies,昆虫フード,insect_food
dog_dry_food,dog_food,dog_dry_food,dog_dry_food
dog_wet_food,dog_food,dog_wet_food,dog_wet_food
dog_treat,dog_food,dog_treat,dog_treat
rabbit_pellet,rabbit_food,rabbit_pellet,rabbit_pellet
rabbit_hay_treat,rabbit_food,rabbit_hay_treat,rabbit_hay_treat
hamster_food,small_mammal_food,hamster_food,hamster_food
small_mammal_pellet,small_mammal_food,small_mammal_pellet,small_mammal_pellet
small_mammal_food,small_mammal_food,small_mammal_food,small_mammal_food
bird_pellet,bird_food,bird_pellet,bird_pellet
bird_seed_food,bird_food,bird_seed_food,bird_seed_food
bird_treat,bird_food,bird_treat,bird_treat
goldfish_food,fish_supplies,goldfish_food,goldfish_food
tropical_fish_food,fish_supplies,tropical_fish_food,tropical_fish_food
medaka_food,fish_supplies,medaka_food,medaka_food
aquarium_water_care,fish_supplies,aquarium_water_care,aquarium_water_care
reptile_food,reptile_amphibian_supplies,reptile_food,reptile_food
reptile_heating_lighting,reptile_amphibian_supplies,reptile_heating_lighting,reptile_heating_lighting
reptile_substrate_care,reptile_amphibian_supplies,reptile_substrate_care,reptile_substrate_care
insect_jelly,insect_supplies,insect_jelly,insect_jelly
insect_bedding,insect_supplies,insect_bedding,insect_bedding
insect_care,insect_supplies,insect_care,insect_care
pet_sheets,pet_sheets,pet_sheets,pet_sheets
diapers,diapers,diapers,diapers
deodorizer,deodorizer,deodorizer,deodorizer
shampoo,shampoo,shampoo,shampoo
eye_care,eye_care,eye_care,eye_care
ear_care,ear_care,ear_care,ear_care
paw_care,paw_care,paw_care,paw_care
dental_care,dental_care,dental_care,dental_care
milk,milk,milk,milk
wet_tissues,wet_tissues,wet_tissues,wet_tissues
waste_bags,waste_bags,waste_bags,waste_bags
flea_tick_care,flea_tick_care,flea_tick_care,flea_tick_care
main_pellet,main_pellet,main_pellet,main_pellet
timothy,timothy,timothy,timothy
alfalfa,alfalfa,alfalfa,alfalfa
supplement,supplement,supplement,supplement
chew_toy,chew_toy,chew_toy,chew_toy
toilet_litter,toilet_litter,toilet_litter,toilet_litter
toilet_sheets,toilet_sheets,toilet_sheets,toilet_sheets
pellet,pellet,pellet,pellet
nesting_material,nesting_material,nesting_material,nesting_material
bathing_sand,bathing_sand,bathing_sand,bathing_sand
bedding,bedding,bedding,bedding
hairball_care,hairball_care,hairball_care,hairball_care
seed,seed,seed,seed
formula,formula,formula,formula
chick_food,chick_food,chick_food,chick_food
calcium,calcium,calcium,calcium
grit,grit,grit,grit
cuttlebone,cuttlebone,cuttlebone,cuttlebone
mineral,mineral,mineral,mineral
bath,bath,bath,bath
flake_food,flake_food,flake_food,flake_food
granule_food,granule_food,granule_food,granule_food
tablet_food,tablet_food,tablet_food,tablet_food
fry_food,fry_food,fry_food,fry_food
betta_food,betta_food,betta_food,betta_food
marine_food,marine_food,marine_food,marine_food
water_conditioner,water_conditioner,water_conditioner,water_conditioner
dechlorinator,dechlorinator,dechlorinator,dechlorinator
bacteria,bacteria,bacteria,bacteria
algae_control,algae_control,algae_control,algae_control
activated_carbon,activated_carbon,activated_carbon,activated_carbon
filter_media,filter_media,filter_media,filter_media
water_test,water_test,water_test,water_test
substrate,substrate,substrate,substrate
plant_fertilizer,plant_fertilizer,plant_fertilizer,plant_fertilizer
co2_consumable,co2_consumable,co2_consumable,co2_consumable
insect_food,insect_food,昆虫フード,insect_food
vitamin,vitamin,vitamin,vitamin
coconut_substrate,coconut_substrate,coconut_substrate,coconut_substrate
shedding_care,shedding_care,shedding_care,shedding_care
frozen_food,frozen_food,frozen_food,frozen_food
dried_food,dried_food,dried_food,dried_food
fermented_mat,fermented_mat,fermented_mat,fermented_mat
kinshi_bottle,kinshi_bottle,kinshi_bottle,kinshi_bottle
burial_mat,burial_mat,burial_mat,burial_mat
leaf_mold,leaf_mold,leaf_mold,leaf_mold
cricket_food,cricket_food,cricket_food,cricket_food
bell_cricket_food,bell_cricket_food,bell_cricket_food,bell_cricket_food
hydration,hydration,hydration,hydration
humidity,humidity,humidity,humidity
wet_food,wet_food,wet_food,wet_food
semi_moist_food,semi_moist_food,semi_moist_food,semi_moist_food
therapeutic_food,therapeutic_food,therapeutic_food,therapeutic_food
treat,treat,treat,treat
conditioner,conditioner,conditioner,conditioner
toilet,toilet,toilet,toilet
supplementary_food,supplementary_food,supplementary_food,supplementary_food
grooming,grooming,grooming,grooming
shampoo_towel,shampoo_towel,shampoo_towel,shampoo_towel
water_replacement,water_replacement,water_replacement,water_replacement
mixed_food,mixed_food,mixed_food,mixed_food
sand,sand,sand,sand
live_food,live_food,live_food,live_food
shrimp_food,shrimp_food,shrimp_food,shrimp_food
aquarium_salt,aquarium_salt,aquarium_salt,aquarium_salt
wool_mat,wool_mat,wool_mat,wool_mat
gravel,gravel,gravel,gravel
soil,soil,soil,soil
reptile_jelly,reptile_jelly,reptile_jelly,reptile_jelly
uv_lighting,uv_lighting,uv_lighting,uv_lighting
heat_lamp,heat_lamp,heat_lamp,heat_lamp
adult_mat,adult_mat,adult_mat,adult_mat
insect_honey,insect_honey,insect_honey,insect_honey
case_bedding,case_bedding,case_bedding,case_bedding
fish_medicine,fish_medicine,魚病薬,Fish Medicine
spawning_wood,spawning_wood,産卵木,Spawning Wood
