id,pet_group,target_species,target_species_group,category_id,subcategory_id,keyword,negative_keywords,rakuten_genre_id,yahoo_genre_category_id,yahoo_brand_id,priority,enabled,max_pages,last_searched_at
psq-cat-dry-food,cat,cat,,cat_food,subcat_001,猫 ドライフード,犬|ドッグ,,,,100,true,5,
psq-cat-wet-food,cat,cat,,cat_food,subcat_002,猫 ウェットフード,犬|ドッグ,,,,100,true,5,
psq-cat-therapeutic-food,cat,cat,,cat_food,subcat_004,猫 療法食,犬用|ドッグ,,,,95,true,5,
psq-cat-kitten-food,cat,cat,,cat_food,subcat_001,猫 子猫用 ドライフード,犬用|成猫用|シニア用,,,,95,true,5,
psq-cat-senior-food,cat,cat,,cat_food,subcat_001,猫 シニア用 ドライフード,犬用|子猫用|成猫用,,,,90,true,4,
psq-cat-treat,cat,cat,,cat_treat,subcat_005,猫 おやつ,犬|ドッグ,,,,95,true,5,
psq-cat-functional-treat,cat,cat,,cat_treat,subcat_006,猫 機能性 おやつ,犬用|ドッグ,,,,90,true,4,
psq-cat-dental-treat,cat,cat,,cat_treat,subcat_007,猫 デンタル おやつ,犬用|人用,,,,90,true,4,
psq-cat-hairball-care,cat,cat,,cat_treat,subcat_006,猫 毛玉ケア,犬用|うさぎ用|フェレット用,,,,90,true,4,
psq-cat-litter,cat,cat,,cat_litter_toilet,subcat_008,猫 鉱物系 猫砂,うさぎ|小動物|紙製|おから|シリカゲル,,,,95,true,5,
psq-cat-litter-paper,cat,cat,,cat_litter_toilet,subcat_009,猫 紙製 猫砂,うさぎ用|小動物用|鉱物系|おから,,,,90,true,4,
psq-cat-litter-wood,cat,cat,,cat_litter_toilet,subcat_010,猫 木 ひのき 猫砂,うさぎ用|小動物用|鉱物系|おから,,,,90,true,4,
psq-cat-litter-okara,cat,cat,,cat_litter_toilet,subcat_011,猫 おから 猫砂,うさぎ用|小動物用|鉱物系|紙製,,,,90,true,4,
psq-cat-litter-silica,cat,cat,,cat_litter_toilet,subcat_012,猫 シリカゲル 猫砂,うさぎ用|小動物用|鉱物系|紙製,,,,85,true,4,
psq-cat-system-toilet-chips,cat,cat,,cat_litter_toilet,subcat_013,猫 システムトイレ チップ,犬用|うさぎ用|本体のみ,,,,95,true,5,
psq-cat-system-toilet-sheets,cat,cat,,cat_litter_toilet,subcat_014,猫 システムトイレ シート,犬用|うさぎ用|本体のみ,,,,95,true,5,
psq-cat-deodorizer,cat,cat,,cat_care_cleaning,subcat_016,猫 トイレ 消臭用品,犬用|うさぎ用|小動物用,,,,90,true,4,
psq-cat-wet-tissues,cat,cat,,cat_care_cleaning,subcat_017,猫用 ウェットティッシュ,犬用|人用|赤ちゃん用,,,,85,true,4,
psq-cat-dental-care,cat,cat,,cat_care_cleaning,subcat_018,猫 歯磨き用品,犬用|人用,,,,95,true,5,
psq-cat-grooming,cat,cat,,cat_care_cleaning,subcat_019,猫 グルーミング用品,犬用|小動物用,,,,85,true,4,
psq-cat-shampoo,cat,cat,,cat_care_cleaning,subcat_025,猫 シャンプー,犬用|人用|小動物用,,,,90,true,4,
psq-cat-flea-tick-care,cat,cat,,cat_care_cleaning,subcat_025,猫 ノミ ダニ 対策用品,犬用|小動物用|室内用殺虫剤,,,,90,true,4,
psq-cat-catgrass-catnip,cat,cat,,cat_treat,subcat_022,猫 猫草 またたび,犬用|小動物用|栽培キットのみ,,,,85,true,4,
psq-cat-milk,cat,cat,,cat_health,subcat_023,猫用 ミルク,犬用|人用|小動物用,,,,85,true,4,
psq-cat-supplement,cat,cat,,cat_health,subcat_024,猫 サプリメント,犬用|人用|小動物用,,,,90,true,4,
psq-cat-scratcher-refill,cat,cat,,cat_semi_consumable,subcat_020,猫 爪とぎ 交換用,本体のみ|犬用|小動物用,,,,85,true,4,
psq-cat-water-filter,cat,cat,,cat_care_cleaning,subcat_025,猫 給水器 交換フィルター,観賞魚用|犬用|本体のみ,,,,90,true,4,
psq-dog-dry-food,dog,dog,,dog_food,dog_dry_food,犬 ドライフード,猫|キャット,,,,100,true,5,
