pet_type,product_name,manufacturer,category_id,subcategory_id,subcategory_name,source_url,verification_status,verified_source_url,verified_note,verified_at
dog,デオシート,ユニ・チャーム,pet_sheets,pet_sheets,ペットシーツ,https://jp.unicharmpet.com/ja/dog/toilet-sheets.html,verified_active,https://jp.unicharmpet.com/ja/dog/toilet-sheets.html,ユニ・チャーム公式犬用トイレシーツ一覧で確認。,2026-07-19
dog,マナーウェア,ユニ・チャーム,diapers,diapers,マナーウェア・おむつ,https://jp.unicharmpet.com/ja/dog/diaper.html,verified_active,https://jp.unicharmpet.com/ja/dog/diaper.html,ユニ・チャーム公式犬用マナーウェア一覧で確認。,2026-07-19
dog,デオクリーン,ユニ・チャーム,deodorizer,deodorizer,消臭用品,https://jp.unicharmpet.com/ja/dog/toilet.html,verified_active,https://jp.unicharmpet.com/ja/dog/toilet.html,ユニ・チャーム公式犬用トイレ・消臭用品一覧で確認。,2026-07-19
dog,ジョイペット 薬用スキンケアシャンプー,ジョンソントレーディング,shampoo,shampoo,シャンプー,https://www.joypet.jp/dog/,verified_active,https://www.joypet.jp/dog/,公式犬用ケア用品カタログで確認。,2026-07-19
dog,ジョイペット 涙やけクリーナー,ジョンソントレーディング,eye_care,eye_care,目元ケア,https://www.joypet.jp/dog/,verified_active,https://www.joypet.jp/dog/,公式犬用ケア用品カタログで確認。,2026-07-19
dog,ジョイペット 耳そうじシート,ジョンソントレーディング,ear_care,ear_care,耳ケア,https://www.joypet.jp/dog/,verified_active,https://www.joypet.jp/dog/,公式犬用ケア用品カタログで確認。,2026-07-19
dog,ジョイペット 肉球ケアジェル,ジョンソントレーディング,paw_care,paw_care,肉球ケア,https://www.joypet.jp/dog/,verified_active,https://www.joypet.jp/dog/,公式犬用ケア用品カタログで確認。,2026-07-19
dog,デントレーナー,ペティオ,dental_care,dental_care,デンタルケア用品,https://www.petio.com/products/dog/,verified_active,https://www.petio.com/products/dog/,ペティオ公式犬用用品カタログで確認。,2026-07-19
dog,犬用ミルク,森乳サンワールド,milk,milk,ミルク,https://www.morinyu.co.jp/pet/,verified_active,https://www.morinyu.co.jp/pet/,森乳サンワールド公式ペット用品カタログで確認。,2026-07-19
dog,ペットキレイ ウェットティッシュ,ライオンペット,wet_tissues,wet_tissues,ウェットティッシュ,https://www.lion-pet.co.jp/products/dog/,verified_active,https://www.lion-pet.co.jp/products/dog/,ライオンペット公式犬用用品カタログで確認。,2026-07-19
dog,シュシュット お散歩用うんち袋,ライオンペット,waste_bags,waste_bags,うんち袋,https://www.lion-pet.co.jp/products/dog/,verified_active,https://www.lion-pet.co.jp/products/dog/,ライオンペット公式犬用用品カタログで確認。,2026-07-19
dog,ペットキレイ ノミ・ダニクリーナー,ライオンペット,flea_tick_care,flea_tick_care,ノミ・ダニ対策用品,https://www.lion-pet.co.jp/products/dog/,verified_active,https://www.lion-pet.co.jp/products/dog/,ライオンペット公式犬用用品カタログで確認。,2026-07-19
rabbit,ラビットプレミアムフード,ジェックス,main_pellet,main_pellet,主食用ペレット,https://www.gex-fp.co.jp/animal/,verified_active,https://www.gex-fp.co.jp/animal/,ジェックス公式小動物用品カタログで確認。,2026-07-19
rabbit,ラビットプレミアムチモシー,ジェックス,timothy,timothy,チモシー,https://www.gex-fp.co.jp/animal/,verified_active,https://www.gex-fp.co.jp/animal/,ジェックス公式小動物用品カタログで確認。,2026-07-19
