pet_type,product_id,parent_product_id,base_product_name,product_name,brand_id,brand_name,manufacturer,category_id,category_name,subcategory_id,subcategory_name,product_type,variations_or_target,priority,note,source_url,is_active,content_amount,flavor,scent,variant_source,split_status,needs_research,review_reason,verification_status,verified_source_url,verified_note,verified_at
dog,pet_0001,,ビューティープロ ドッグ,ビューティープロ ドッグ 成犬用,brand_dog_beautypro,ビューティープロ ドッグ,日本ペットフード,dog_food,犬用フード,dog_dry_food,ドライフード,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://shop.npf.co.jp/shop/c/cdog_sgn/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://shop.npf.co.jp/shop/c/cdog_sgn/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
dog,pet_0002,,コンボ ドッグ,コンボ ドッグ 成犬用,brand_dog_combo,コンボ ドッグ,日本ペットフード,dog_food,犬用フード,dog_dry_food,ドライフード,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://shop.npf.co.jp/shop/c/cdog_sgn/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://shop.npf.co.jp/shop/c/cdog_sgn/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
dog,pet_0003,,デビフ ささみ＆レバーミンチ,デビフ ささみ＆レバーミンチ,brand_dog_dbf,デビフ ささみ＆レバーミンチ,デビフペット,dog_food,犬用フード,dog_wet_food,ウェットフード,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.dbfpet.co.jp/product-info/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.dbfpet.co.jp/product-info/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
dog,pet_0004,,ちゅ〜るごはん,いなば ちゅ〜るごはん 犬用,brand_dog_inaba,ちゅ〜るごはん,デビフペット,dog_food,犬用フード,dog_wet_food,ウェットフード,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.dbfpet.co.jp/product-info/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.dbfpet.co.jp/product-info/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
rabbit,pet_0005,,バニーセレクション,バニーセレクション メンテナンス,brand_rabbit_easter,バニーセレクション,イースター,rabbit_food,うさぎ用フード,rabbit_pellet,ペレット,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
rabbit,pet_0006,,バニーセレクション,バニーセレクション グロース,brand_rabbit_easter,バニーセレクション,イースター,rabbit_food,うさぎ用フード,rabbit_pellet,ペレット,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
rabbit,pet_0007,,チモシーの恵,ハイペット チモシーの恵,brand_rabbit_highpet,チモシーの恵,イースター,rabbit_food,うさぎ用フード,rabbit_pellet,ペレット,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
rabbit,pet_0008,,ラビットプレミアムフード,GEX ラビットプレミアムフード,brand_rabbit_gex,ラビットプレミアムフード,イースター,rabbit_food,うさぎ用フード,rabbit_pellet,ペレット,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
small_mammal,pet_0009,,ハムスターフード,ハムスターフード ハードタイプ,brand_small_npf,ハムスターフード,日本ペットフード,small_mammal_food,小動物用フード,small_mammal_pellet,主食・ペレット,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
small_mammal,pet_0010,,ハムスターフード,ハムスターフード ソフトタイプ,brand_small_npf,ハムスターフード,日本ペットフード,small_mammal_food,小動物用フード,small_mammal_pellet,主食・ペレット,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
small_mammal,pet_0011,,モルモットセレクション,モルモットセレクション,brand_small_easter,モルモットセレクション,日本ペットフード,small_mammal_food,小動物用フード,small_mammal_pellet,主食・ペレット,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
small_mammal,pet_0012,,チンチラセレクション,チンチラセレクション,brand_small_easter,チンチラセレクション,日本ペットフード,small_mammal_food,小動物用フード,small_mammal_pellet,主食・ペレット,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
small_mammal,pet_0013,,デグーセレクション,デグーセレクション,brand_small_easter,デグーセレクション,日本ペットフード,small_mammal_food,小動物用フード,small_mammal_pellet,主食・ペレット,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.npf.co.jp/products/smallfood/hamster/hamsterfood/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
bird,pet_0014,,インコセレクション,インコセレクション,brand_bird_easter,インコセレクション,日本ペットフード,bird_food,鳥用フード,bird_seed_food,シード・総合フード,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.npf.co.jp/products/smallfood/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.npf.co.jp/products/smallfood/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
bird,pet_0015,,バードセレクション,バードセレクション,brand_bird_easter,バードセレクション,日本ペットフード,bird_food,鳥用フード,bird_seed_food,シード・総合フード,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.npf.co.jp/products/smallfood/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.npf.co.jp/products/smallfood/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
bird,pet_0016,,エクセル セキセイインコ,エクセル セキセイインコ,brand_bird_npf,エクセル セキセイインコ,日本ペットフード,bird_food,鳥用フード,bird_seed_food,シード・総合フード,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.npf.co.jp/products/smallfood/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.npf.co.jp/products/smallfood/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
bird,pet_0017,,エクセル 文鳥,エクセル 文鳥,brand_bird_npf,エクセル 文鳥,日本ペットフード,bird_food,鳥用フード,bird_seed_food,シード・総合フード,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.npf.co.jp/products/smallfood/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.npf.co.jp/products/smallfood/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
aquarium_fish,pet_0018,,テトラ ミン,テトラ ミン,brand_fish_tetra,テトラ ミン,スペクトラム ブランズ ジャパン,fish_food,観賞魚用品,fish_food,フード,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://spectrumbrands.jp/tetra/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://spectrumbrands.jp/tetra/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
aquarium_fish,pet_0019,,ひかりフレーク,ひかりフレーク,brand_fish_kyorin,ひかりフレーク,スペクトラム ブランズ ジャパン,fish_food,観賞魚用品,fish_food,フード,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://spectrumbrands.jp/tetra/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://spectrumbrands.jp/tetra/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
aquarium_fish,pet_0020,,ひかりクレスト,ひかりクレスト カラシン,brand_fish_kyorin,ひかりクレスト,スペクトラム ブランズ ジャパン,fish_food,観賞魚用品,fish_food,フード,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://spectrumbrands.jp/tetra/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://spectrumbrands.jp/tetra/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
aquarium_fish,pet_0021,,メダカ元気,メダカ元気 育てる栄養ウォーター,brand_fish_gex,メダカ元気,スペクトラム ブランズ ジャパン,fish_food,観賞魚用品,fish_food,フード,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://spectrumbrands.jp/tetra/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://spectrumbrands.jp/tetra/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
reptile_amphibian,pet_0022,,レプトミン,レプトミン,brand_reptile_tetra,レプトミン,トップクリエイト,reptile_amphibian_food,爬虫類・両生類用品,reptile_food,フード・飼育消耗品,シリーズ,容量違いは統合,A,初期商品マスタ向けの主要シリーズ。内容量別SKUは登録しない。,https://www.topcreate.jp/,true,要確認,該当なし,該当なし,series_seed,content_variants_collapsed,true,公式の個別SKU・内容量は後続確認,source_reference_only,https://www.topcreate.jp/,公式・メーカーの商品一覧を参照。シリーズ単位で登録。,2026-07-18
